City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Ilulissat,GL,69.2167,-51.1,0.86,83,95,5.03,overcast clouds
281,Gazanjyk,TM,39.2446,55.5154,50.61,59,100,18.68,overcast clouds
282,Qaqortoq,GL,60.7167,-46.0333,13.26,88,65,5.17,broken clouds
283,Van,TR,38.4924,43.3831,38.55,93,75,6.91,broken clouds
284,Tilichiki,RU,60.4667,166.1,7.11,95,34,4.59,scattered clouds
285,Igboho,NG,8.8333,3.75,75.76,34,4,2.95,clear sky
286,Rio Gallegos,AR,-51.6226,-69.2181,66.25,24,40,19.57,scattered clouds
287,Krasnoselkup,RU,65.7,82.4667,-19.05,100,32,6.93,scattered clouds
288,Lucapa,AO,-8.4192,20.7447,64.69,98,100,2.06,overcast clouds
289,Smithers,CA,54.7804,-127.1743,30.52,80,100,8.05,overcast clouds
290,Porto Novo,BJ,6.4965,2.6036,84.02,79,2,7.81,clear sky
291,Bitung,ID,1.4451,125.1824,76.05,81,95,4.9,overcast clouds
292,Tempio Pausania,IT,40.8974,9.1035,54.52,91,32,7.34,scattered clouds
293,Akureyri,IS,65.6835,-18.0878,42.73,65,40,4.61,scattered clouds
294,Puerto Penasco,MX,31.3167,-113.5333,69.91,14,0,7.0,clear sky
295,Ucluelet,CA,48.9329,-125.5528,50.31,84,26,0.78,scattered clouds
296,Tessalit,ML,20.1986,1.0114,73.06,14,54,6.96,broken clouds
297,Fairlie,GB,55.756,-4.8556,44.19,91,100,1.99,overcast clouds
298,Kiama,AU,-34.6833,150.8667,59.0,72,5,1.99,clear sky
299,Minab,IR,27.1467,57.0801,73.72,83,0,0.0,clear sky
300,Arriaga,MX,16.2333,-93.9,87.98,53,75,14.92,broken clouds
301,Marienburg,PL,54.0359,19.0266,36.84,70,43,12.62,scattered clouds
302,Nanortalik,GL,60.1432,-45.2371,20.48,76,62,23.91,broken clouds
303,Progreso,MX,21.2833,-89.6667,85.1,76,4,12.68,light rain
304,Salinopolis,BR,-0.6136,-47.3561,80.87,73,86,9.93,overcast clouds
305,Hasaki,JP,35.7333,140.8333,47.21,66,15,15.43,few clouds
306,Arlit,NE,18.7369,7.3853,71.85,16,6,8.52,clear sky
307,Zavitinsk,RU,50.1167,129.45,5.0,100,90,2.26,overcast clouds
308,Sarakhs,IR,36.5449,61.1577,50.97,49,67,9.31,broken clouds
309,Derzhavinsk,KZ,51.1,66.3167,17.53,93,39,6.38,scattered clouds
310,Atar,MR,20.5169,-13.0499,80.08,21,11,9.64,few clouds
311,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,82.26,79,91,1.83,overcast clouds
312,Sonegaon,IN,20.65,78.6833,64.71,55,0,2.86,clear sky
313,Fare,PF,-16.7,-151.0167,78.51,78,71,3.24,light rain
314,Saint-Joseph,RE,-21.3667,55.6167,66.58,72,19,7.47,few clouds
315,Harper,LR,4.375,-7.7169,78.08,83,15,7.81,few clouds
316,Tokur,RU,53.1333,132.9,3.43,98,100,2.86,overcast clouds
317,Chiredzi,ZW,-21.05,31.6667,75.18,37,0,5.1,clear sky
318,Niles,US,42.0189,-87.8028,36.21,88,100,11.5,mist
319,Safaga,EG,26.7292,33.9365,71.11,47,100,12.68,overcast clouds
320,Lavrentiya,RU,65.5833,-171.0,33.96,92,98,19.01,overcast clouds
321,Ostrovnoy,RU,68.0531,39.5131,31.26,83,96,3.42,overcast clouds
322,Sawai Madhopur,IN,25.9833,76.3667,62.33,36,0,4.63,clear sky
323,Nichinan,JP,31.6,131.3667,54.63,56,93,4.03,overcast clouds
324,Prince Rupert,CA,54.3161,-130.3201,46.09,88,20,4.61,few clouds
325,La Ronge,CA,55.1001,-105.2842,19.65,79,100,16.11,light snow
326,Kalevala,RU,65.2,31.1667,27.52,95,95,2.77,overcast clouds
327,Kyzyl-Mazhalyk,RU,51.1333,90.6,4.57,87,88,1.25,overcast clouds
328,Ruzhyn,UA,49.7228,29.2046,36.81,97,100,9.13,light rain
329,Kalmunai,LK,7.4167,81.8167,74.73,80,100,8.66,overcast clouds
330,Lebu,CL,-37.6167,-73.65,62.76,77,5,9.95,clear sky
331,Laranjeiras Do Sul,BR,-25.4078,-52.4161,67.37,71,3,4.45,clear sky
332,Utinga,BR,-5.8172,-35.3954,81.45,69,20,13.8,few clouds
333,Palmer,US,42.1584,-72.3287,44.85,69,75,12.66,broken clouds
334,Sechura,PE,-5.5569,-80.8222,76.39,57,39,15.95,scattered clouds
335,Bay Saint Louis,US,30.3088,-89.33,53.67,57,0,13.8,clear sky
336,Scicli,IT,36.7902,14.7014,56.75,84,78,5.79,broken clouds
337,Reitz,ZA,-27.8014,28.4273,61.74,67,58,4.5,broken clouds
338,Westport,US,41.1415,-73.3579,48.38,69,75,14.97,broken clouds
339,Torbay,CA,47.6666,-52.7314,33.58,77,100,10.36,overcast clouds
340,Zapolyarnyy,RU,69.4154,30.8136,24.08,91,100,6.08,overcast clouds
341,Trinidad,BO,-14.8333,-64.9,93.18,52,40,0.0,scattered clouds
342,Constitucion,CL,-35.3333,-72.4167,65.86,63,34,16.49,scattered clouds
343,Pozo Colorado,PY,-23.4923,-58.7972,86.34,33,0,8.9,clear sky
344,Sakakah,SA,29.9697,40.2064,63.97,56,100,6.64,overcast clouds
345,Bainbridge,US,47.6262,-122.5212,52.77,72,0,7.0,clear sky
