City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
174,Japura,ID,2022-11-13 20:15:56,-0.3167,102.35,72.81,98,100,2.77
175,San Cristobal,VE,2022-11-13 20:15:56,7.7669,-72.225,75.38,89,100,1.05
176,Riyadh,SA,2022-11-13 20:14:21,24.6877,46.7219,73.54,37,0,8.08
177,Wattegama,LK,2022-11-13 20:15:57,6.7989,81.4808,73.4,93,98,1.07
178,Urumqi,CN,2022-11-13 20:15:57,43.801,87.6005,29.35,86,6,0.0
179,Saint-Pierre,RE,2022-11-13 20:15:57,-21.3393,55.4781,71.91,94,100,13.8
180,Laguna De Perlas,NI,2022-11-13 20:15:58,12.3429,-83.6712,80.69,81,60,11.68
181,Samana,DO,2022-11-13 20:15:58,19.2056,-69.3369,86.22,84,20,9.22
182,Esperance,AU,2022-11-13 20:16:58,-33.8667,121.9,55.54,70,100,8.34
183,Poya,NC,2022-11-13 20:16:59,-21.35,165.15,73.65,80,22,6.44
184,Pedasi,PA,2022-11-13 20:13:36,7.5333,-80.0333,77.07,75,48,5.17
185,Ponta Do Sol,PT,2022-11-13 20:16:59,32.6667,-17.1,70.72,85,84,3.0
186,Port Elizabeth,ZA,2022-11-13 20:17:00,-33.918,25.5701,58.1,88,3,8.7
187,Malajog,PH,2022-11-13 20:17:00,12.1106,124.4792,78.24,91,93,7.2
188,Lagos,NG,2022-11-13 20:15:48,6.5833,3.75,78.66,86,100,4.81
189,North Bend,US,2022-11-13 20:15:51,43.4065,-124.2243,52.16,85,0,3.44
190,Timucuy,MX,2022-11-13 20:17:00,20.8167,-89.5167,90.95,43,75,4.61
191,Mayo,US,2022-11-13 20:17:01,38.8876,-76.5119,50.11,50,0,20.71
192,Shetpe,KZ,2022-11-13 20:17:01,44.1667,52.1167,46.22,82,100,24.2
193,Yar-Sale,RU,2022-11-13 20:17:01,66.8333,70.8333,-0.96,91,100,7.49
194,Taoudenni,ML,2022-11-13 20:17:02,22.6783,-3.9836,79.65,15,53,12.66
195,Bocanda,CI,2022-11-13 20:17:02,7.0626,-4.4995,76.46,86,100,3.0
196,Bandarbeyla,SO,2022-11-13 20:17:03,9.4942,50.8122,79.0,71,8,16.17
197,Humen,CN,2022-11-13 20:17:03,22.819,113.6731,80.42,70,19,2.73
198,Labuhan,ID,2022-11-13 20:17:04,-6.8844,112.2051,79.09,87,69,5.12
199,De-Kastri,RU,2022-11-13 20:12:20,51.4667,140.7833,15.15,89,31,5.1
200,Axim,GH,2022-11-13 20:14:30,4.8699,-2.2405,78.8,82,100,6.15
201,Doha,QA,2022-11-13 20:13:26,25.2867,51.5333,82.38,57,0,9.22
202,Tanete,ID,2022-11-13 20:17:05,-3.9443,119.7848,75.36,94,100,1.25
203,Upernavik,GL,2022-11-13 20:17:05,72.7868,-56.1549,22.62,68,100,4.23
204,Tianpeng,CN,2022-11-13 20:17:06,30.9866,103.9393,52.27,77,100,0.94
205,Lagoa,PT,2022-11-13 20:17:06,39.05,-27.9833,62.51,73,100,21.72
206,Gilgit,PK,2022-11-13 20:17:07,35.9221,74.3087,37.83,86,100,3.15
207,Cap Malheureux,MU,2022-11-13 20:17:07,-19.9842,57.6142,71.47,69,0,1.99
208,Ketchikan,US,2022-11-13 20:17:07,55.3422,-131.6461,42.78,97,100,5.66
209,Pervomayskoye,RU,2022-11-13 20:17:08,43.919,46.7102,52.39,58,2,21.21
210,Huilong,CN,2022-11-13 20:17:08,31.8111,121.655,52.93,66,99,9.84
211,Constitucion,CL,2022-11-13 20:17:09,-35.3333,-72.4167,61.84,65,7,8.99
212,Kapaa,US,2022-11-13 20:17:09,22.0752,-159.319,82.38,76,0,19.57
213,Ostrovnoy,RU,2022-11-13 20:17:09,68.0531,39.5131,35.28,66,100,16.69
214,Makakilo City,US,2022-11-13 20:17:10,21.3469,-158.0858,80.01,71,40,10.36
215,Faya,SA,2022-11-13 20:17:10,18.3851,42.4509,59.11,63,3,3.18
216,Vardo,NO,2022-11-13 20:17:11,70.3705,31.1107,30.18,80,0,10.36
217,Shenjiamen,CN,2022-11-13 20:17:11,29.9576,122.298,58.48,69,100,14.94
218,Vysokogornyy,RU,2022-11-13 20:17:12,50.1167,139.15,6.46,97,25,2.51
219,Loule,PT,2022-11-13 20:17:12,37.1377,-8.0197,62.31,88,0,3.44
220,Khorixas,NA,2022-11-13 20:17:12,-20.3667,14.9667,66.15,41,3,9.78
221,Trelew,AR,2022-11-13 20:17:13,-43.249,-65.3051,74.53,31,97,14.97
222,Canavieiras,BR,2022-11-13 20:17:13,-15.675,-38.9472,80.56,77,100,7.49
223,Dickinson,US,2022-11-13 20:17:14,29.4608,-95.0513,60.06,48,0,6.91
224,Kalangala,UG,2022-11-13 20:17:14,-0.3089,32.225,70.95,66,100,1.74
225,Mathbaria,BD,2022-11-13 20:17:14,22.2876,89.9593,63.19,58,4,6.29
226,Namibe,AO,2022-11-13 20:17:15,-15.1961,12.1522,67.98,71,8,7.9
227,Makungu,TZ,2022-11-13 20:18:15,-8.7333,35.2833,66.67,61,4,4.07
228,Bambous Virieux,MU,2022-11-13 20:18:16,-20.3428,57.7575,71.22,78,40,4.61
229,Kavaratti,IN,2022-11-13 20:18:16,10.5669,72.642,80.13,77,98,3.47
230,Lorengau,PG,2022-11-13 20:18:17,-2.0226,147.2712,80.26,82,100,8.86
231,Ponta Pora,BR,2022-11-13 20:18:17,-22.5361,-55.7256,66.11,94,100,0.0
232,Guanica,PR,2022-11-13 20:18:17,17.9716,-66.908,86.05,79,91,2.15
233,Zunyi,CN,2022-11-13 20:18:18,27.6867,106.9072,51.15,90,100,2.82
234,Zaraza,VE,2022-11-13 20:18:18,9.3503,-65.3245,84.52,71,93,5.88
235,Lasa,IT,2022-11-13 20:18:19,46.6166,10.7002,49.08,92,100,3.49
236,Saint-Joseph,RE,2022-11-13 20:18:19,-21.3667,55.6167,70.18,86,74,13.31
237,Nikolskoye,RU,2022-11-13 20:18:19,59.7035,30.7861,40.91,79,100,5.53
238,Auki,SB,2022-11-13 20:18:20,-8.7676,160.7034,77.27,85,99,3.33
239,Ouadda,CF,2022-11-13 20:18:20,8.0777,22.4007,71.82,36,8,4.54
240,Sistranda,NO,2022-11-13 20:18:20,63.7256,8.834,44.56,76,100,12.01
241,Rock Sound,BS,2022-11-13 20:18:21,24.9,-76.2,80.98,63,1,2.37
242,Alofi,NU,2022-11-13 20:18:22,-19.0595,-169.9187,78.69,73,40,12.66
243,Ashqelon,IL,2022-11-13 20:18:22,31.6693,34.5715,71.82,63,0,12.01
244,Port Augusta,AU,2022-11-13 20:18:22,-32.5,137.7667,57.34,64,96,20.47
245,Kondinskoye,RU,2022-11-13 20:18:22,59.6481,67.41,18.36,93,100,14.12
246,Severo-Kurilsk,RU,2022-11-13 20:18:05,50.6789,156.125,31.89,87,100,21.43
247,Portland,US,2022-11-13 20:15:15,45.5234,-122.6762,48.06,80,100,3.0
248,Tadepalle,IN,2022-11-13 20:18:23,16.4833,80.6,71.53,84,98,4.16
249,Gemunden,DE,2022-11-13 20:18:23,50.05,9.7,46.6,83,0,4.16
250,Placerville,US,2022-11-13 20:18:24,38.7296,-120.7986,57.9,46,0,10.36
251,Nandigama,IN,2022-11-13 20:18:24,16.7833,80.3,71.87,85,26,3.04
252,Tezu,IN,2022-11-13 20:18:24,27.9167,96.1667,61.88,55,0,4.34
253,Saint-Philippe,RE,2022-11-13 20:18:25,-21.3585,55.7679,71.19,88,96,13.49
254,Kimbe,PG,2022-11-13 20:18:25,-5.5502,150.1429,76.08,92,94,3.38
255,Hokitika,NZ,2022-11-13 20:18:26,-42.7167,170.9667,60.21,66,0,3.24
256,Iqaluit,CA,2022-11-13 20:18:26,63.7506,-68.5145,22.73,86,100,6.91
257,Ilulissat,GL,2022-11-13 20:18:26,69.2167,-51.1,28.42,64,20,2.3
258,Port Blair,IN,2022-11-13 20:18:27,11.6667,92.75,78.17,84,55,8.7
259,Merauke,ID,2022-11-13 20:18:27,-8.4667,140.3333,78.28,90,77,9.4
260,Moerai,PF,2022-11-13 20:15:48,-22.4333,-151.3333,69.01,62,0,7.34
261,Mongo,TD,2022-11-13 20:18:27,12.1844,18.693,82.58,25,2,4.23
262,Berdigestyakh,RU,2022-11-13 20:18:28,62.0989,126.6992,-28.26,100,100,1.95
263,Lavrentiya,RU,2022-11-13 20:18:28,65.5833,-171.0,14.14,74,1,5.82
264,Abu Samrah,SY,2022-11-13 20:18:28,35.3029,37.1841,62.13,47,0,6.6
265,Muros,ES,2022-11-13 20:18:29,42.7762,-9.0603,57.69,94,100,9.57
266,Praia Da Vitoria,PT,2022-11-13 20:18:29,38.7333,-27.0667,61.05,82,40,9.91
267,Montepuez,MZ,2022-11-13 20:18:29,-13.1256,38.9997,72.3,68,37,9.98
268,Berezovyy,RU,2022-11-13 20:18:30,51.6667,135.7,13.01,80,6,3.62
269,Pavlodar,KZ,2022-11-13 20:18:30,52.3,76.95,30.0,80,0,13.42
270,Tiznit,MA,2022-11-13 20:18:30,29.5833,-9.5,69.37,27,36,1.19
271,Hofn,IS,2022-11-13 20:18:31,64.2539,-15.2082,46.44,92,100,19.15
272,Jiexiu,CN,2022-11-13 20:18:31,37.0244,111.9125,42.98,39,100,4.14
273,Poum,NC,2022-11-13 20:19:32,-20.2333,164.0167,75.94,80,74,6.04
274,Wad Rawah,SD,2022-11-13 20:19:32,15.1603,33.1397,79.95,22,2,14.43
275,Carauari,BR,2022-11-13 20:19:32,-4.8828,-66.8958,87.22,67,100,1.7
276,Hovd,MN,2022-11-13 20:19:33,48.0056,91.6419,27.41,46,100,5.48
277,Along,IN,2022-11-13 20:19:33,28.1667,94.7667,55.13,75,6,1.99
278,Talnakh,RU,2022-11-13 20:19:33,69.4865,88.3972,-23.96,84,82,4.03
279,Chalmette,US,2022-11-13 20:19:34,29.9427,-89.9634,59.05,47,0,10.36
